year,level_1,level_2,value
2015,Male Arrested For Robbery,Youths (7 To 19 Years Old),24
2015,Female Arrested For Robbery,Above 21 Years Old,4
2015,Female Arrested For Robbery,21 Years Old And Below,5
2015,Female Arrested For Robbery,Youths (7 To 19 Years Old),4
2015,Total Persons Arrested For Housebreaking,Above 21 Years Old,113
2015,Total Persons Arrested For Housebreaking,21 Years Old And Below,81
2015,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),66
2015,Male Arrested For Housebreaking,Above 21 Years Old,110
2015,Male Arrested For Housebreaking,21 Years Old And Below,78
2015,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),63
2015,Female Arrested For Housebreaking,Above 21 Years Old,3
2015,Female Arrested For Housebreaking,21 Years Old And Below,3
2015,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),3
2015,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,64
2015,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,77
2015,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),53
2015,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,59
2015,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,74
2015,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),53
2015,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,5
2015,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,3
2015,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),0
2015,Total Persons Arrested For Snatch Theft,Above 21 Years Old,30
2015,Total Persons Arrested For Snatch Theft,21 Years Old And Below,11
2015,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),8
2015,Male Arrested For Snatch Theft,Above 21 Years Old,29
2015,Male Arrested For Snatch Theft,21 Years Old And Below,10
2015,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),8
2015,Female Arrested For Snatch Theft,Above 21 Years Old,1
2015,Female Arrested For Snatch Theft,21 Years Old And Below,1
2015,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),0
2015,Total Persons Arrested For Rioting,Above 21 Years Old,310
2015,Total Persons Arrested For Rioting,21 Years Old And Below,220
2015,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),172
2015,Male Arrested For Rioting,Above 21 Years Old,303
2015,Male Arrested For Rioting,21 Years Old And Below,189
2015,Male Arrested For Rioting,Youths (7 To 19 Years Old),144
2015,Female Arrested For Rioting,Above 21 Years Old,7
2015,Female Arrested For Rioting,21 Years Old And Below,31
2015,Female Arrested For Rioting,Youths (7 To 19 Years Old),28
2015,Total Persons Arrested For Serious Hurt,Above 21 Years Old,406
2015,Total Persons Arrested For Serious Hurt,21 Years Old And Below,54
